Name,Player Page,Teammates Page
Giovanni Di Lorenzo,https://www.transfermarkt.com/giovanni-di-lorenzo/profil/spieler/169880,https://www.transfermarkt.com/giovanni-di-lorenzo/gemeinsameSpiele/spieler/169880
Piotr Zieliński,https://www.transfermarkt.com/piotr-zielinski/profil/spieler/181136,https://www.transfermarkt.com/piotr-zielinski/gemeinsameSpiele/spieler/181136
Matteo Politano,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895,https://www.transfermarkt.com/matteo-politano/gemeinsameSpiele/spieler/165895
Stanislav Lobotka,https://www.transfermarkt.com/stanislav-lobotka/profil/spieler/192735,https://www.transfermarkt.com/stanislav-lobotka/gemeinsameSpiele/spieler/192735
Eljif Elmas,https://www.transfermarkt.com/eljif-elmas/profil/spieler/400489,https://www.transfermarkt.com/eljif-elmas/gemeinsameSpiele/spieler/400489
Alex Meret,https://www.transfermarkt.com/alex-meret/profil/spieler/240414,https://www.transfermarkt.com/alex-meret/gemeinsameSpiele/spieler/240414
Amir Rrahmani,https://www.transfermarkt.com/amir-rrahmani/profil/spieler/257732,https://www.transfermarkt.com/amir-rrahmani/gemeinsameSpiele/spieler/257732
Frank Anguissa,https://www.transfermarkt.com/frank-anguissa/profil/spieler/354361,https://www.transfermarkt.com/frank-anguissa/gemeinsameSpiele/spieler/354361
Mário Rui,https://www.transfermarkt.com/mario-rui/profil/spieler/87884,https://www.transfermarkt.com/mario-rui/gemeinsameSpiele/spieler/87884
Hirving Lozano,https://www.transfermarkt.com/hirving-lozano/profil/spieler/316889,https://www.transfermarkt.com/hirving-lozano/gemeinsameSpiele/spieler/316889
Fabián Ruiz,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,https://www.transfermarkt.com/fabian-ruiz/gemeinsameSpiele/spieler/350219
Lorenzo Insigne,https://www.transfermarkt.com/lorenzo-insigne/profil/spieler/133964,https://www.transfermarkt.com/lorenzo-insigne/gemeinsameSpiele/spieler/133964
Juan Jesus,https://www.transfermarkt.com/juan-jesus/profil/spieler/121985,https://www.transfermarkt.com/juan-jesus/gemeinsameSpiele/spieler/121985
Mathías Olivera,https://www.transfermarkt.com/mathias-olivera/profil/spieler/376514,https://www.transfermarkt.com/mathias-olivera/gemeinsameSpiele/spieler/376514
Kalidou Koulibaly,https://www.transfermarkt.com/kalidou-koulibaly/profil/spieler/93128,https://www.transfermarkt.com/kalidou-koulibaly/gemeinsameSpiele/spieler/93128
Giacomo Raspadori,https://www.transfermarkt.com/giacomo-raspadori/profil/spieler/405885,https://www.transfermarkt.com/giacomo-raspadori/gemeinsameSpiele/spieler/405885
Dries Mertens,https://www.transfermarkt.com/dries-mertens/profil/spieler/56416,https://www.transfermarkt.com/dries-mertens/gemeinsameSpiele/spieler/56416
Mike Maignan,https://www.transfermarkt.com/mike-maignan/profil/spieler/182906,https://www.transfermarkt.com/mike-maignan/gemeinsameSpiele/spieler/182906
Benjamin André,https://www.transfermarkt.com/benjamin-andre/profil/spieler/84301,https://www.transfermarkt.com/benjamin-andre/gemeinsameSpiele/spieler/84301
David Ospina,https://www.transfermarkt.com/david-ospina/profil/spieler/73396,https://www.transfermarkt.com/david-ospina/gemeinsameSpiele/spieler/73396
Jonathan Bamba,https://www.transfermarkt.com/jonathan-bamba/profil/spieler/292818,https://www.transfermarkt.com/jonathan-bamba/gemeinsameSpiele/spieler/292818
Jonathan Ikoné,https://www.transfermarkt.com/jonathan-ikone/profil/spieler/324690,https://www.transfermarkt.com/jonathan-ikone/gemeinsameSpiele/spieler/324690
Diego Demme,https://www.transfermarkt.com/diego-demme/profil/spieler/82070,https://www.transfermarkt.com/diego-demme/gemeinsameSpiele/spieler/82070
Eric Dier,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,https://www.transfermarkt.com/eric-dier/gemeinsameSpiele/spieler/175722
Hugo Lloris,https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,https://www.transfermarkt.com/hugo-lloris/gemeinsameSpiele/spieler/17965
Heung-min Son,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,https://www.transfermarkt.com/heung-min-son/gemeinsameSpiele/spieler/91845
Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,https://www.transfermarkt.com/ben-davies/gemeinsameSpiele/spieler/192765
Christian Eriksen,https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633,https://www.transfermarkt.com/christian-eriksen/gemeinsameSpiele/spieler/69633
Dele Alli,https://www.transfermarkt.com/dele-alli/profil/spieler/207929,https://www.transfermarkt.com/dele-alli/gemeinsameSpiele/spieler/207929
Jan Vertonghen,https://www.transfermarkt.com/jan-vertonghen/profil/spieler/43250,https://www.transfermarkt.com/jan-vertonghen/gemeinsameSpiele/spieler/43250
Erik Lamela,https://www.transfermarkt.com/erik-lamela/profil/spieler/111630,https://www.transfermarkt.com/erik-lamela/gemeinsameSpiele/spieler/111630
Toby Alderweireld,https://www.transfermarkt.com/toby-alderweireld/profil/spieler/42710,https://www.transfermarkt.com/toby-alderweireld/gemeinsameSpiele/spieler/42710
Lucas Moura,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100,https://www.transfermarkt.com/lucas-moura/gemeinsameSpiele/spieler/77100
Davinson Sánchez,https://www.transfermarkt.com/davinson-sanchez/profil/spieler/341429,https://www.transfermarkt.com/davinson-sanchez/gemeinsameSpiele/spieler/341429
Harry Winks,https://www.transfermarkt.com/harry-winks/profil/spieler/249126,https://www.transfermarkt.com/harry-winks/gemeinsameSpiele/spieler/249126
Moussa Sissoko,https://www.transfermarkt.com/moussa-sissoko/profil/spieler/46001,https://www.transfermarkt.com/moussa-sissoko/gemeinsameSpiele/spieler/46001
Danny Rose,https://www.transfermarkt.com/danny-rose/profil/spieler/50174,https://www.transfermarkt.com/danny-rose/gemeinsameSpiele/spieler/50174
Mousa Dembélé,https://www.transfermarkt.com/mousa-dembele/profil/spieler/19368,https://www.transfermarkt.com/mousa-dembele/gemeinsameSpiele/spieler/19368
Pierre-Emile Højbjerg,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,https://www.transfermarkt.com/pierre-emile-hojbjerg/gemeinsameSpiele/spieler/167799
Kieran Trippier,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810,https://www.transfermarkt.com/kieran-trippier/gemeinsameSpiele/spieler/95810
Serge Aurier,https://www.transfermarkt.com/serge-aurier/profil/spieler/127032,https://www.transfermarkt.com/serge-aurier/gemeinsameSpiele/spieler/127032
Nacer Chadli,https://www.transfermarkt.com/nacer-chadli/profil/spieler/59631,https://www.transfermarkt.com/nacer-chadli/gemeinsameSpiele/spieler/59631
Emerson Royal,https://www.transfermarkt.com/emerson-royal/profil/spieler/476344,https://www.transfermarkt.com/emerson-royal/gemeinsameSpiele/spieler/476344
Tanguy Ndombélé,https://www.transfermarkt.com/tanguy-ndombele/profil/spieler/450936,https://www.transfermarkt.com/tanguy-ndombele/gemeinsameSpiele/spieler/450936
Oliver Skipp,https://www.transfermarkt.com/oliver-skipp/profil/spieler/406638,https://www.transfermarkt.com/oliver-skipp/gemeinsameSpiele/spieler/406638
Victor Wanyama,https://www.transfermarkt.com/victor-wanyama/profil/spieler/77760,https://www.transfermarkt.com/victor-wanyama/gemeinsameSpiele/spieler/77760
Ryan Mason,https://www.transfermarkt.com/ryan-mason/profil/spieler/61834,https://www.transfermarkt.com/ryan-mason/gemeinsameSpiele/spieler/61834
Sergio Busquets,https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,https://www.transfermarkt.com/sergio-busquets/gemeinsameSpiele/spieler/65230
Jordi Alba,https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,https://www.transfermarkt.com/jordi-alba/gemeinsameSpiele/spieler/69751
Eric García,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,https://www.transfermarkt.com/eric-garcia/gemeinsameSpiele/spieler/466794
Ansu Fati,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,https://www.transfermarkt.com/ansu-fati/gemeinsameSpiele/spieler/466810
Gerard Piqué,https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,https://www.transfermarkt.com/gerard-pique/gemeinsameSpiele/spieler/18944
Marcos Alonso,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,https://www.transfermarkt.com/marcos-alonso/gemeinsameSpiele/spieler/112515
Memphis Depay,https://www.transfermarkt.com/memphis-depay/profil/spieler/167850,https://www.transfermarkt.com/memphis-depay/gemeinsameSpiele/spieler/167850
Nico González,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/466805,https://www.transfermarkt.com/nico-gonzalez/gemeinsameSpiele/spieler/466805
Franck Kessié,https://www.transfermarkt.com/franck-kessie/profil/spieler/294808,https://www.transfermarkt.com/franck-kessie/gemeinsameSpiele/spieler/294808
Óscar Mingueza,https://www.transfermarkt.com/oscar-mingueza/profil/spieler/331505,https://www.transfermarkt.com/oscar-mingueza/gemeinsameSpiele/spieler/331505
